time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-01-20T16:35:40.192Z,-0.2108,100.8363,194.62,4.4,mb,15,141,3.591,0.41,us,us7000lu02,2024-03-29T17:37:57.040Z,"22 km E of Payakumbuh, Indonesia",earthquake,6.44,9.778,0.268,4,reviewed,us,us
2024-01-18T22:05:35.793Z,-0.4098,99.1052,55.463,4.6,mb,49,152,3.088,0.65,us,us6000m4jq,2024-03-29T17:37:53.040Z,"115 km WNW of Pariaman, Indonesia",earthquake,7.93,3.667,0.085,41,reviewed,us,us
2024-01-13T12:22:55.103Z,2.2353,96.3526,25.087,4,mb,15,201,1.533,0.8,us,us6000m4qe,2024-03-16T19:01:12.040Z,"27 km S of Sinabang, Indonesia",earthquake,8.25,5.188,0.231,6,reviewed,us,us
2024-01-10T01:12:45.749Z,0.0817,96.6557,10,4.3,mb,30,181,1.523,0.64,us,us6000m4fy,2024-03-16T19:00:52.040Z,"138 km WSW of Teluk Dalam, Indonesia",earthquake,4.45,1.894,0.143,14,reviewed,us,us
2024-01-09T04:45:06.777Z,0.0777,96.5636,10,5.1,mb,73,42,1.583,0.68,us,us6000m2n7,2024-03-16T19:00:08.040Z,"148 km WSW of Teluk Dalam, Indonesia",earthquake,9.06,1.77,0.06,90,reviewed,us,us
2024-01-08T09:51:30.178Z,-2.284,99.6708,17.148,5.2,mb,88,116,3.874,1.06,us,us6000m2fs,2024-03-16T19:00:00.040Z,"29 km SSE of Tuapejat, Indonesia",earthquake,8.65,3.923,0.059,95,reviewed,us,us
2024-01-03T19:11:18.148Z,0.708,100.474,222.317,4.3,mb,74,107,2.508,0.91,us,us6000m1i2,2024-03-09T21:39:06.040Z,"98 km WSW of Balai Pungut, Indonesia",earthquake,5.82,7.011,0.07,58,reviewed,us,us
2023-12-23T10:26:19.787Z,-0.6691,99.1213,44.262,4.2,mb,22,141,2.496,0.35,us,us6000m1p0,2024-02-27T22:56:58.040Z,"111 km W of Pariaman, Indonesia",earthquake,7.6,7.756,0.176,10,reviewed,us,us
2023-12-21T23:10:44.392Z,-2.0431,102.1594,214.656,4,mb,20,125,2.435,0.32,us,us6000m1gt,2024-02-27T22:56:57.040Z,"61 km S of Muara Bungo, Indonesia",earthquake,10.47,7.703,0.173,9,reviewed,us,us
2023-12-16T06:45:55.913Z,-0.3273,98.8494,51.179,5,mww,140,69,3.002,0.66,us,us7000ljgg,2024-02-17T22:43:12.040Z,"145 km WNW of Pariaman, Indonesia",earthquake,7.92,6.109,0.093,11,reviewed,us,us
